"","USEquity_allocation","USEquity_selection","USEquity_interaction","USEquity_total","Em.Mkt_allocation","Em.Mkt_selection","Em.Mkt_interaction","Em.Mkt_total","Dev.I_allocation","Dev.I_selection","Dev.I_interaction","Dev.I_total","allocation_total","selection_total","interaction_total","total"
"May-12",-0.0234453948597974,2.47989305,-0.0469906204820963,2.40945703465811,-0.0132780588320895,1.93060748,0.057954790105671,1.97528421127358,-0.0091967997641687,3.11384385,0.0360223572660123,3.14066940750184,-0.0459202534560556,7.52434438,0.046986526889587,7.52541065343353
"Jun-12",-0.00205685237145088,-1.65989295,-0.00624513475807733,-1.66819493712953,-0.000121200175184549,-0.98197764,-0.00534314164465615,-0.987441981819841,-0.00563166514366509,-2.24636679,0.0222347406604309,-2.22976371448323,-0.00780971769030052,-4.88823738,0.0106464642576974,-4.8854006334326
"Jul-12",-0.00171235105942562,-0.4117812,0.00280455033777358,-0.410689000721652,-0.00032720941469598,-0.18992658,-0.0005487795580494,-0.190802568972745,-0.00130229367856749,0.54958926,0.00517988427139262,0.553466850592825,-0.00334185415268909,-0.05211852,0.0074356550511168,-0.0480247191015723
"Aug-12",-6.05539194267342e-05,-1.203554,0.000590783737764041,-1.20302377018166,-0.00677354438750309,0.09756066,0.00171972516837839,0.0925068407808753,-0.00285256708601662,-2.01764655,0.0220597031623273,-1.99843941392369,-0.00968666539294645,-3.12363989,0.0243702120684697,-3.10895634332448
"Sep-12",-0.000902542676120058,-1.127953,-0.00343560497182807,-1.13229114764795,-0.0027417581709746,-0.8696933,0.00568791593906207,-0.866747142231913,8.80441955558052e-05,-1.43415615,0.00102738166065506,-1.43304072414379,-0.00355625665153885,-3.43180245,0.00327969262788907,-3.43207901402365
"Oct-12",0.00139273559982526,0.97915955,-0.00234983408774844,0.978202451512077,0.000564891133832497,-0.23829682,-0.00277228562967499,-0.240504214495842,-0.00199743812406009,-0.4324542,0.00162433545456396,-0.432827302669496,-3.98113904023273e-05,0.30840853,-0.00349778426285947,0.304870934346738
"Nov-12",0.00083348446898518,-0.2285946,0.000496364828169588,-0.227264750702845,-2.07486856770014e-06,-0.63066082,0.000202334910880614,-0.630460559957687,0.00144645360746431,-0.29164203,-0.00111781918254541,-0.291313395575081,0.00227786320788179,-1.15089745,-0.000419119443495204,-1.14903870623561
"Dec-12",-0.00723145657149868,-0.0833996,-0.000570556512704802,-0.0912016130842035,-0.0162689145312337,-1.5875236,0.036197712987332,-1.5675948015439,0.00130503096386027,-0.61630413,-0.00234124694425054,-0.61734034598039,-0.0221953401388721,-2.28722733,0.0332859095303767,-2.2761367606085
"Jan-13",-0.00292153104925958,-2.1580035,0.00776800982269805,-2.15315702122656,-0.0200592484626139,-0.042192,-0.00104844208752,-0.0632996905501339,4.63317097420809e-05,-2.14289661,0.0226436170424575,-2.1202066612478,-0.0229344478021314,-4.34309211,0.0293631847776355,-4.3366633730245
"Feb-13",-0.00476227771304383,-0.513781,0.00320431954150201,-0.515338958171542,-0.00434212802193924,-0.0515617800000001,-0.0005269299389142,-0.0564308379608535,-0.00121307786217115,0.67106673,0.00240352167972632,0.672257173817555,-0.0103174835971542,0.10572395,0.00508091128231413,0.10048737768516
"Mar-13",-0.00430207424153561,-1.46364285,0.00717267545956748,-1.46077224878197,-0.00764832869554152,0.0328341,0.000398619271810499,0.025584390576269,-1.83450468020621e-05,-0.66560361,-4.92591044974592e-05,-0.665671214151299,-0.0119687479838792,-2.09641236,0.00752203562688052,-2.100859072357
"Apr-13",-0.000514178112384613,-0.53220755,-0.000613172284581456,-0.533334900396966,-0.00425587412339977,-0.01451184,-0.0002223009271056,-0.0189900150505054,-0.00878532903776513,-2.19433647,0.0266230212848317,-2.17649877775293,-0.0135553812735495,-2.74105586,0.0257875480731446,-2.7288236932004
"May-13",-0.0142742914599234,-0.88037665,0.00768838034629572,-0.886962561113628,-0.00891535721229106,0.26987044,0.0027627473541164,0.263717830141825,-0.00590313293906453,0.72865815,0.00563269023315352,0.728387707294089,-0.0290927816112789,0.11815194,0.0160838179335656,0.105142976322286
"Jun-13",-0.00756469696073188,0.31161425,-0.00383871736227099,0.300210835676997,-0.0211056906284932,1.28172398,0.0480173728609975,1.3086356622325,0.000225332671342249,0.02513751,-0.0001117125188989,0.0252511301524434,-0.0284450549178828,1.61847574,0.0440669429798277,1.63409762806194
"Jul-13",-0.00170441404692978,-2.2848313,0.00908886241590826,-2.27744685163102,-0.0149434139989763,0.23149678,0.00531253626537919,0.221865902266403,-0.00193062467864468,-1.99064937,0.0172574038733828,-1.97532259080526,-0.0185784527245507,-4.04398389,0.0316588025546703,-4.03090354016988
