"","Date","LC_returns_b","SC_returns_b","LC_returns_p","SC_returns_p","LC_weights_b","SC_weights_b","LC_weights_p","SC_weights_p"
"50","Jun-16","0.107950002","0.176358214","-0.030562136","-0.05302385","0.89","0.11","0.875773549","0.124226451"
"51","Jul-16","0.259372436","0.404497698","0.001114789","0.038346879","0.89","0.11","0.886168499","0.113831501"
"52","Aug-16","-0.033052546","0.075356136","0.019071358","0.016842197","0.89","0.11","0.862357704","0.137642297"
"53","Sep-16","0.000524218999999994","0.124908191","-0.002736138","0.024189154","0.89","0.11","0.866759459","0.133240543"
"54","Oct-16","-0.142736291","-0.418238207","0.012900025","0.068760448","0.89","0.11","0.824887783","0.175112219"
"55","Nov-16","0.358195711","1.115929727","0.166555844","-0.071609334","0.89","0.11","0.961381805","0.038618196"
"56","Dec-16","0.168804672","0.308624766","0.006795088","0.006693909","0.89","0.11","0.88186705","0.118132948"
"57","Jan-17","0.164767235","-0.050271501","-0.020931644","-0.055238951","0.89","0.11","0.853570101","0.1464299"
"58","Feb-17","0.303886215","0.029895096","0.066482199","-0.015914713","0.89","0.11","0.858201862","0.141798138"
"59","Mar-17","-0.012644273","0.028456124","-0.024478584","-0.053345317","0.89","0.11","0.86365246","0.136347539"
"60","Apr-17","0.072354371","0.048224287","0.059058627","0.0145755539","0.89","0.11","0.860413553","0.139586446"
"61","May-17","0.096762901","-0.288104908","0.018838055","-0.005653264","0.89","0.11","0.83553286","0.164467141"
"62","Jun-17","0.051367246","0.14962967","0.072587675","-0.009161872","0.89","0.11","0.868446386","0.131553613"
"63","Jul-17","0.164832852","0.076585011","-0.003105577","0.05380334","0.89","0.11","0.858239434","0.141760564"
"64","Aug-17","-0.010278442","-0.20351257","-0.027480711","0.004072334","0.89","0.11","0.842034257","0.157965744"
"65","Sep-17","0.222781246","0.750314012","0.085173995","0.025228043","0.89","0.11","0.921605456","0.078394545"
"66","Oct-17","0.167783001","0.069961297","0.092404588","-0.007374203","0.89","0.11","0.861288702","0.138711297"
"67","Nov-17","0.279759158","0.300313494","0.057503362","0.021285358","0.89","0.11","0.879060857","0.120939143"
"68","Dec-17","0.100414367","-0.013969021","0.072268798","-0.067193635","0.89","0.11","0.862191882","0.137808119"
"69","Jan-18","0.408592526","0.175930921","0.082391811","0.002069019","0.89","0.11","0.869088558","0.130911443"
"70","Feb-18","-0.427768319","-0.435471374","-0.058825478","-0.083528958","0.89","0.11","0.837914346","0.162085654"
"71","Mar-18","-0.154124544","0.134980201","-0.059318418","0.006681248","0.89","0.11","0.871238801","0.128761198"
"72","Apr-18","0.077887435","0.241389672","0.046773607","-0.071183645","0.89","0.11","0.884595649","0.115404351"
"73","May-18","0.134168586","0.538002247","-0.01046481","0.062737613","0.89","0.11","0.898149802","0.101850197"
