Date,L_allocation,L_selection,L_interation,S_allocation,S_selection,S_interation,L_total,S_total,allocation_total,selection_total,interaction_total,total
15-Jan,-0.021809148,2.2893657,-0.133329656,-0.193015543,0.438163629,0.385367701,2.134226896,0.630515786,-0.214824692,2.727529329,0.252038045,2.764742682
15-Feb,-0.149283686,-4.281896739,0.154567144,-0.117404613,-0.683178027,0.148853857,-4.276613281,-0.651728782,-0.266688298,-4.965074766,0.303421001,-4.928342063
15-Mar,-0.019961537,0.893549139,0.003351543,0.018468415,-0.053255289,0.03540144,0.876939145,0.000614566,-0.001493121,0.84029385,0.038752983,0.877553711
15-Apr,-0.041875663,-0.79794116,0.058404153,-0.279510175,0.126002949,0.261430812,-0.781412671,0.107923586,-0.321385838,-0.671938211,0.319834964,-0.673489085
15-May,-0.081885882,-0.951039534,0.124565662,-0.223964152,-0.154798333,0.168169429,-0.908359754,-0.210593055,-0.305850034,-1.105837867,0.292735091,-1.118952809
15-Jun,-0.049685473,1.820194177,-0.009783885,-0.035767592,0.055101739,0.10456111,1.760724819,0.123895258,-0.085453065,1.875295916,0.094777225,1.884620076
15-Jul,-0.248566273,-1.820973125,0.381703603,-0.792265096,0.253678524,0.676157762,-1.687835795,0.13757119,-1.040831369,-1.567294602,1.057861365,-1.550264606
15-Aug,0.041898194,4.616915192,-0.256951699,0.06834483,0.513810772,0.27733698,4.401861686,0.859492582,0.110243024,5.130725964,0.020385281,5.261354268
15-Sep,-0.127682779,2.635777359,-0.050802642,-0.499224585,0.512216139,0.701524803,2.457291938,0.714516356,-0.626907364,3.147993498,0.650722161,3.171808295
15-Oct,-0.132925728,-6.318066733,0.060046315,-0.085856478,-0.775145049,0.241104114,-6.390946147,-0.619897412,-0.218782206,-7.093211782,0.301150429,-7.010843559
15-Nov,-0.015538656,0.208824657,0.011823237,-0.060766154,-0.331483637,0.057914167,0.205109238,-0.334335624,-0.076304809,-0.12265898,0.069737404,-0.129226386
15-Dec,-0.162682838,1.389555912,0.034546906,-0.444474842,0.605676091,0.618435916,1.26141998,0.779637165,-0.607157681,1.995232003,0.652982822,2.041057144
16-Jan,-0.075950142,3.528304286,-0.147952135,-0.230767776,0.697593101,0.588597173,3.304402009,1.055422498,-0.306717918,4.225897387,0.440645038,4.359824507
16-Feb,-0.053004872,-0.689746751,0.077918201,-0.201395555,-0.107474022,0.202466453,-0.664833422,-0.106403123,-0.254400427,-0.797220773,0.280384654,-0.771236545
16-Mar,-0.048288538,-4.917566723,-0.140700925,-0.46134604,-1.070630439,0.761909203,-5.106556186,-0.770067276,-0.509634579,-5.988197162,0.621208278,-5.876623462
16-Apr,-0.121450044,-0.202624474,0.137683072,-0.191662335,-0.253510738,0.182327572,-0.186391446,-0.262845501,-0.31311238,-0.456135212,0.320010644,-0.449236947
16-May,-0.039386408,-0.830830199,0.054214182,-0.144646985,-0.124689813,0.083207108,-0.816002425,-0.18612969,-0.184033394,-0.955520012,0.13742129,-1.002132115
16-Jun,-0.053819091,-0.424818151,0.059583766,-0.076461542,-0.21996387,0.07672224,-0.419053477,-0.219703172,-0.130280634,-0.644782021,0.136306006,-0.638756649
16-Jul,-0.091971284,-3.2212746,0.128710458,-0.119321593,-0.497805602,0.106203765,-3.184535426,-0.51092343,-0.211292877,-3.719080202,0.234914223,-3.695458856
16-Aug,-0.058403085,0.36244773,0.01963738,-0.161765269,-0.096251407,0.16369438,0.323682026,-0.094322296,-0.220168353,0.266196324,0.18333176,0.22935973
16-Sep,-0.026427218,-0.248825615,0.057666847,-0.015030876,-0.135409438,0.019234456,-0.217585986,-0.131205858,-0.041458094,-0.384235053,0.076901303,-0.348791844
16-Oct,-0.054317004,1.70138181,-0.08645871,-0.235065522,0.601267323,0.428518355,1.560606096,0.794720155,-0.289382525,2.302649133,0.342059644,2.355326252
16-Nov,-0.25754254,-1.845177669,0.058052369,-0.854008034,-1.41381427,1.283913175,-2.04466784,-0.983909128,-1.111550574,-3.258991939,1.341965544,-3.028576968
16-Dec,-0.004794887,-1.259467642,0.025043605,-0.017103998,-0.36072833,0.0045734,-1.239218924,-0.373258927,-0.021898885,-1.620195972,0.029617005,-1.612477851
17-Jan,-0.049808075,-2.060510958,0.132234363,-0.1241404,-0.018986533,0.046580641,-1.97808467,-0.096546293,-0.173948475,-2.079497491,0.178815004,-2.074630962
17-Feb,-0.072102538,-2.557073653,0.170787224,-0.218993078,-0.082873232,0.091198198,-2.458388967,-0.210668112,-0.291095617,-2.639946885,0.261985422,-2.66905708
17-Mar,-0.013857608,-0.463467019,0.045691792,-0.063110125,-0.094408682,0.051752978,-0.431632835,-0.105765828,-0.076967733,-0.557875701,0.09744477,-0.537398663
17-Apr,-0.027330289,-0.373815901,0.033879299,-0.228561103,-0.040139788,0.20050077,-0.36726689,-0.06820012,-0.255891392,-0.413955689,0.23438007,-0.435467011
17-May,-0.056682389,-0.989868483,0.095496885,-0.33636753,0.270326021,0.30389064,-0.951053987,0.23784913,-0.39304992,-0.719542463,0.399387525,-0.713204857
17-Jun,-0.063395459,-0.33346168,0.095324763,-0.114396701,-0.236184798,0.111304448,-0.301532376,-0.23927705,-0.177792159,-0.569646478,0.206629211,-0.540809426
17-Jul,-0.014333524,-1.776579481,0.080491053,-0.05692638,-0.048095374,0.017874128,-1.710421952,-0.087147625,-0.071259904,-1.824674855,0.098365181,-1.797569578
17-Aug,-0.091015665,-0.884976618,0.159911952,-0.222815193,0.254983585,0.221811081,-0.816080332,0.253979473,-0.313830858,-0.629993034,0.381723033,-0.562100859
17-Sep,-0.108873501,-0.899044742,0.062177397,-0.519340082,-0.845234165,0.607688845,-0.945740846,-0.756885402,-0.628213583,-1.744278907,0.669866242,-1.702626247
17-Oct,-0.054716003,-1.049119183,0.085699642,-0.072685884,-0.128285652,0.017417139,-1.018135544,-0.183554396,-0.127401886,-1.177404835,0.103116781,-1.201689939
17-Nov,-0.01822968,-2.193961099,0.070717686,-0.078390388,-0.279303911,0.055453846,-2.141473094,-0.302240453,-0.096620068,-2.47326501,0.126171532,-2.443713546
17-Dec,-0.071575352,-0.252204411,0.079202437,-0.107399077,-0.040067799,0.065912884,-0.244577326,-0.081553992,-0.17897443,-0.29227221,0.145115321,-0.326131319
